"adm1","adm2","adm3","mfs_accessibility_pillar_score","mfs_availability_pillar_score","mfs_affordability_pillar_score","mfs_resilience_pillar_score","mfs_infrastructure_pillar_score","mfs_score"
"ET01","ET0101","ET010108",NA,Inf,NA,NA,NA,NA
"ET01","ET0102","ET010210",NA,Inf,NA,NA,NA,NA
"ET01","ET0102","ET010211",NA,Inf,NA,NA,NA,NA
"ET01","ET0102","ET010212",NA,Inf,NA,NA,NA,NA
"ET01","ET0102","ET010213",NA,Inf,NA,NA,NA,NA
"ET01","ET0102","ET010222",NA,Inf,NA,NA,NA,NA
"ET01","ET0103","ET010301",NA,Inf,NA,NA,NA,NA
"ET01","ET0103","ET010308",NA,Inf,NA,NA,NA,NA
"ET01","ET0104","ET010412",NA,Inf,NA,NA,NA,NA
"ET01","ET0106","ET010602",NA,Inf,NA,NA,NA,NA
"ET01","ET0106","ET010608",NA,Inf,NA,NA,NA,NA
"ET01","ET0107","ET010701",NA,Inf,NA,NA,NA,NA
"ET02","ET0201","ET020104",NA,Inf,NA,NA,NA,NA
"ET02","ET0201","ET020107",NA,Inf,NA,NA,NA,NA
"ET02","ET0201","ET020111",NA,Inf,NA,NA,NA,NA
"ET02","ET0201","ET020198",NA,Inf,NA,NA,NA,NA
"ET02","ET0202","ET020202",NA,Inf,NA,NA,NA,NA
"ET02","ET0202","ET020205",NA,Inf,NA,NA,NA,NA
"ET02","ET0202","ET020209",NA,Inf,NA,NA,NA,NA
"ET02","ET0203","ET020302",NA,Inf,NA,NA,NA,NA
"ET02","ET0203","ET020396",NA,Inf,NA,NA,NA,NA
"ET02","ET0204","ET020401",NA,Inf,NA,NA,NA,NA
"ET02","ET0204","ET020402",NA,Inf,NA,NA,NA,NA
"ET03","ET0301","ET030102",NA,Inf,NA,NA,NA,NA
"ET03","ET0301","ET030103",NA,Inf,NA,NA,NA,NA
"ET03","ET0301","ET030104",NA,Inf,NA,NA,NA,NA
"ET03","ET0301","ET030198",20.5882352941176,Inf,NA,NA,4,NA
"ET03","ET0303","ET030309",5.88235294117647,Inf,NA,NA,7,NA
"ET03","ET0304","ET030403",NA,Inf,NA,NA,NA,NA
"ET03","ET0304","ET030499",NA,Inf,NA,NA,NA,NA
"ET03","ET0308","ET030802",NA,Inf,NA,NA,NA,NA
"ET03","ET0308","ET030805",NA,Inf,NA,NA,NA,NA
"ET04","ET0405","ET040519",2.94117647058824,Inf,NA,NA,7,NA
"ET04","ET0409","ET040902",NA,Inf,NA,NA,NA,NA
"ET04","ET0409","ET040905",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041001",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041005",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041006",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041007",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041013",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041016",NA,Inf,NA,NA,NA,NA
"ET04","ET0410","ET041097",NA,Inf,NA,NA,NA,NA
